Output format is csv.
nation,o_year,sum_profit
MOROCCO                  ,1995,945387459.1116
MOROCCO                  ,1994,950525177.5695
MOROCCO                  ,1993,934717580.1797
MOROCCO                  ,1992,947456505.8276
MOZAMBIQUE               ,1998,541578625.0619
MOZAMBIQUE               ,1997,924370082.9342
MOZAMBIQUE               ,1996,925770963.1473
MOZAMBIQUE               ,1995,927710569.6567
MOZAMBIQUE               ,1994,921107271.8054
MOZAMBIQUE               ,1993,918096111.8730
MOZAMBIQUE               ,1992,929316839.0630
PERU                     ,1998,549421562.7373
PERU                     ,1997,940153644.3396
PERU                     ,1996,934058656.7174
PERU                     ,1995,929270469.5656
PERU                     ,1994,945635453.4051
PERU                     ,1993,943171168.5397
PERU                     ,1992,945198712.2411
ROMANIA                  ,1998,543853788.1883
ROMANIA                  ,1997,927961517.3375
ROMANIA                  ,1996,921717057.4731
ROMANIA                  ,1995,927374321.3541
ROMANIA                  ,1994,934876708.6335
ROMANIA                  ,1993,921130660.1421
ROMANIA                  ,1992,928123860.5429
RUSSIA                   ,1998,543615456.0764
RUSSIA                   ,1997,927891910.3697
RUSSIA                   ,1996,922518440.1309
RUSSIA                   ,1995,923127788.8942
RUSSIA                   ,1994,927583346.5347
RUSSIA                   ,1993,923749993.6867
RUSSIA                   ,1992,909675936.4433
SAUDI ARABIA             ,1998,552371501.4937
SAUDI ARABIA             ,1997,921356880.6604
SAUDI ARABIA             ,1996,922550061.2270
SAUDI ARABIA             ,1995,920200616.3262
SAUDI ARABIA             ,1994,920848972.1361
SAUDI ARABIA             ,1993,930561566.6398
SAUDI ARABIA             ,1992,934049723.3879
UNITED KINGDOM           ,1998,543428902.3474
UNITED KINGDOM           ,1997,925721656.5101
UNITED KINGDOM           ,1996,933971315.5917
UNITED KINGDOM           ,1995,945461787.6207
UNITED KINGDOM           ,1994,930158535.2977
UNITED KINGDOM           ,1993,930831194.9427
UNITED KINGDOM           ,1992,949988867.8549
UNITED STATES            ,1998,555648544.9538
UNITED STATES            ,1997,949218373.8017
UNITED STATES            ,1996,943952027.8026
UNITED STATES            ,1995,948216470.1471
UNITED STATES            ,1994,948960304.7404
UNITED STATES            ,1993,952030856.9777
UNITED STATES            ,1992,943859951.7702
VIETNAM                  ,1998,539315658.8896
VIETNAM                  ,1997,912004694.8871
VIETNAM                  ,1996,924591644.3145
VIETNAM                  ,1995,917805309.9721
VIETNAM                  ,1994,920585630.3535
VIETNAM                  ,1993,916428988.0287
VIETNAM                  ,1992,921584609.1640
