Output format is csv.
s_name,s_address
Supplier#000006945,"Xm,c 4IPwmYQRCyI5H7LQCixPq0"
Supplier#000006994,0ciPd7IlTaEYT6zI
Supplier#000007054,"Cf zFuxqsnUtHAagISxuOFwTzH7P4v6O0j,Y"
Supplier#000007086,LkenFvPv98w
Supplier#000007218,jlPIseIZxq1qs
Supplier#000007251,"1kcKe02g,zDCSfhvVINHP44rUHmr0sQX3LEF9H6D"
Supplier#000007258,MYrHtgLcDE4zBfBomEIb7xGj
Supplier#000007310,Ea4kunP2sUw
Supplier#000007345,rboOExJJtWBfr8CGSBUy05
Supplier#000007365,"I8lwWTxqVPJt,ZV5CYrsTFo"
Supplier#000007394,fc3icAxYfnmg
Supplier#000007448,",jQ4efP37UZMfQ4HXbj7UKSpgbRkWMLdT"
Supplier#000007540,Jf8tDd3v 5
Supplier#000007559,C2UazhoLOLj4jrb opTmNa
Supplier#000007611,9lselnmNR8RKy9qYvV
Supplier#000007627,7eRzS29hAvgco7fcwj64c4WvcmGGJEsD7flEo
Supplier#000007807,5zqTLgR1S1dObr1BGNgf3kFitua1BQtN
Supplier#000007925,"Zmzfd7h5KGvOu3hyRJwv,o8UhTQsu"
Supplier#000008047,"oz50pLJpRW7i79eul8pGtTtExFCuMkeE,"
Supplier#000008069,aASkiCT2nECIDeTTNStnoAJl
Supplier#000008078,78JAlNU2lSMu2c1 M f
Supplier#000008155,"XLZ8PcK4EzjRmL1W6V6o5kuyftv7e1W,"
Supplier#000008158,kFOodthGrE5csWEw1IDYzaHCLGD0zkZg8Jj9
Supplier#000008286,"uKV,jJSMvWwFUw5bRWT,aE"
Supplier#000008326,33QQZDlZOoN3Xz
Supplier#000008374,hqtFwh8MOjEHeJPaf
Supplier#000008392,qDDhlTwim5tXzlJRZ
Supplier#000008480,YBHRnB8H3Sergku3oeub3ZqraWAQmSCHEP
Supplier#000008562,RyMZsikOOToEhW2AtRz5QTwVp0k
Supplier#000008658,iD04y7DTJl
Supplier#000008802,5lELABMsFTdEtmrT8dp
Supplier#000008804,pjPC8fjLFPvz8b2Wr IPu59Nrj2XgS7gwpZs
Supplier#000008823,7F3AaBZMfItuJI5W64
Supplier#000008866,0ehaD9sYAs3uoBTZf
Supplier#000008904,"xVkuxE6wYY,G8xoIaPH4FN YhS"
Supplier#000008954,rU75e5sqAmJO1Ke6HXvtB
Supplier#000009133,"Vcepge,42E4h9QTjLl9ULRYOvTjq92tW"
Supplier#000009184,eEKE ru3tnrBURGWjLbK3ROkJt4 PZ
Supplier#000009322,1sRgFgCEWxzuKTBBW4RviOU1ZIJ4G0N1ZxS1Rwh
Supplier#000009373,KbBUhMfO0y4mMX6kOJNrbcYOogH1BFqkVvhVYi
Supplier#000009447,"Oy1,QGj6wx8sGv861Y,CW1 SSRv 1H2X"
Supplier#000009652,sXu6dCWqMP9spp0nNNcIF7
Supplier#000009653,"Xqou2rZaFw2tmrWd6UlhFA,s4XlBP,K"
Supplier#000009720,"WKdmMdZWWt GG,O5akJR2UPLH3tihye6tV"
Supplier#000009725,"pxYsvTxsFdCBDm3xaX2qlYu3ABxS,ToyY B"
Supplier#000009735,JnVoCPgJRbOESZHTBIkX
Supplier#000009768,"AR6,hD6axfhN6HTyGyL8I8EfKSEVSuKABnt1TpY"
