Output format is csv.
o_orderkey,o_orderpriority
1447,1-URGENT
1472,5-LOW
1474,3-MEDIUM
1475,3-MEDIUM
1478,1-URGENT
1479,5-LOW
1505,1-URGENT
1506,1-URGENT
1507,2-HIGH
1509,2-HIGH
1510,2-HIGH
1538,3-MEDIUM
1540,1-URGENT
1541,1-URGENT
1542,1-URGENT
1543,5-LOW
1568,1-URGENT
1569,5-LOW
1570,1-URGENT
1571,5-LOW
1572,4-NOT SPECIFIED
1573,5-LOW
1575,3-MEDIUM
1600,2-HIGH
1601,3-MEDIUM
1602,4-NOT SPECIFIED
1604,1-URGENT
1607,4-NOT SPECIFIED
1633,4-NOT SPECIFIED
1634,4-NOT SPECIFIED
1636,4-NOT SPECIFIED
1637,3-MEDIUM
1639,2-HIGH
1664,1-URGENT
1665,5-LOW
1666,5-LOW
1668,1-URGENT
1669,1-URGENT
1671,4-NOT SPECIFIED
1696,5-LOW
1697,1-URGENT
1698,5-LOW
1699,3-MEDIUM
1702,1-URGENT
1728,2-HIGH
1729,3-MEDIUM
1730,2-HIGH
1731,3-MEDIUM
1735,3-MEDIUM
1760,3-MEDIUM
1761,4-NOT SPECIFIED
1767,2-HIGH
1792,5-LOW
1793,5-LOW
1797,2-HIGH
1799,1-URGENT
1825,2-HIGH
1826,1-URGENT
1828,4-NOT SPECIFIED
1829,3-MEDIUM
1831,1-URGENT
1856,1-URGENT
1857,5-LOW
1858,1-URGENT
1859,5-LOW
1860,1-URGENT
1861,1-URGENT
1888,2-HIGH
1890,5-LOW
1892,3-MEDIUM
1895,3-MEDIUM
1921,1-URGENT
1922,1-URGENT
1923,1-URGENT
1924,5-LOW
1927,3-MEDIUM
1952,5-LOW
1953,5-LOW
1954,1-URGENT
1957,1-URGENT
1985,4-NOT SPECIFIED
1987,5-LOW
1988,2-HIGH
1991,3-MEDIUM
2017,3-MEDIUM
2018,5-LOW
2019,1-URGENT
2020,1-URGENT
2023,2-HIGH
2049,4-NOT SPECIFIED
2052,1-URGENT
2054,4-NOT SPECIFIED
2080,3-MEDIUM
2081,1-URGENT
2082,1-URGENT
2083,1-URGENT
2086,1-URGENT
2112,3-MEDIUM
2115,5-LOW
2117,3-MEDIUM
2144,1-URGENT
2145,3-MEDIUM
2147,3-MEDIUM
2148,1-URGENT
2149,1-URGENT
2151,2-HIGH
2177,5-LOW
2180,1-URGENT
2182,4-NOT SPECIFIED
2183,5-LOW
2210,3-MEDIUM
2211,1-URGENT
2212,1-URGENT
2213,5-LOW
2214,3-MEDIUM
2215,5-LOW
2242,1-URGENT
2243,4-NOT SPECIFIED
2245,5-LOW
2247,5-LOW
2274,1-URGENT
2275,2-HIGH
2276,4-NOT SPECIFIED
2277,4-NOT SPECIFIED
2278,2-HIGH
2279,1-URGENT
2304,4-NOT SPECIFIED
2306,5-LOW
2307,3-MEDIUM
2308,1-URGENT
2339,5-LOW
2341,1-URGENT
2342,1-URGENT
2368,1-URGENT
2371,5-LOW
2372,3-MEDIUM
2374,2-HIGH
2375,1-URGENT
2403,3-MEDIUM
2405,2-HIGH
2406,4-NOT SPECIFIED
2407,5-LOW
2433,1-URGENT
2434,4-NOT SPECIFIED
2435,1-URGENT
2437,1-URGENT
2464,4-NOT SPECIFIED
2465,1-URGENT
2466,3-MEDIUM
2468,3-MEDIUM
2469,2-HIGH
2470,2-HIGH
2471,1-URGENT
2496,1-URGENT
2497,2-HIGH
2499,3-MEDIUM
2501,3-MEDIUM
2503,5-LOW
2528,1-URGENT
2529,1-URGENT
2531,1-URGENT
2533,3-MEDIUM
2535,1-URGENT
2560,5-LOW
2563,1-URGENT
2564,1-URGENT
2566,2-HIGH
2592,1-URGENT
2593,1-URGENT
2596,2-HIGH
2597,1-URGENT
2598,2-HIGH
2599,1-URGENT
2628,3-MEDIUM
2629,4-NOT SPECIFIED
2630,1-URGENT
2657,4-NOT SPECIFIED
2658,3-MEDIUM
2659,4-NOT SPECIFIED
2660,1-URGENT
2661,4-NOT SPECIFIED
2663,1-URGENT
2688,5-LOW
2689,1-URGENT
2690,1-URGENT
2691,1-URGENT
2692,3-MEDIUM
2694,2-HIGH
2695,1-URGENT
2722,5-LOW
2723,1-URGENT
2724,1-URGENT
2725,2-HIGH
2726,1-URGENT
2727,3-MEDIUM
2753,4-NOT SPECIFIED
2754,5-LOW
2755,3-MEDIUM
2756,5-LOW
2757,5-LOW
2784,1-URGENT
2788,1-URGENT
2789,4-NOT SPECIFIED
2790,1-URGENT
2817,1-URGENT
2818,3-MEDIUM
2819,1-URGENT
2821,1-URGENT
2822,4-NOT SPECIFIED
2823,2-HIGH
2848,3-MEDIUM
2849,4-NOT SPECIFIED
2850,4-NOT SPECIFIED
2852,1-URGENT
2855,3-MEDIUM
2881,1-URGENT
2884,2-HIGH
2885,5-LOW
2887,1-URGENT
2913,1-URGENT
2915,2-HIGH
2944,5-LOW
2945,1-URGENT
2948,1-URGENT
2951,3-MEDIUM
2977,4-NOT SPECIFIED
2978,4-NOT SPECIFIED
2979,4-NOT SPECIFIED
2980,4-NOT SPECIFIED
2981,5-LOW
3008,1-URGENT
3009,5-LOW
3012,1-URGENT
3014,3-MEDIUM
3015,4-NOT SPECIFIED
3040,1-URGENT
3042,1-URGENT
3043,3-MEDIUM
3045,5-LOW
3073,5-LOW
3075,4-NOT SPECIFIED
3076,3-MEDIUM
3077,4-NOT SPECIFIED
3078,1-URGENT
3079,3-MEDIUM
3104,5-LOW
3105,3-MEDIUM
3106,5-LOW
3107,3-MEDIUM
3108,2-HIGH
3136,3-MEDIUM
3140,1-URGENT
3141,2-HIGH
3142,1-URGENT
3169,3-MEDIUM
3174,2-HIGH
3175,4-NOT SPECIFIED
3202,5-LOW
3234,1-URGENT
3235,2-HIGH
3236,2-HIGH
3237,1-URGENT
3239,5-LOW
3265,2-HIGH
3266,1-URGENT
3267,2-HIGH
3270,1-URGENT
3271,3-MEDIUM
3297,5-LOW
3298,5-LOW
3299,1-URGENT
3300,3-MEDIUM
3301,1-URGENT
3302,4-NOT SPECIFIED
3328,3-MEDIUM
3334,3-MEDIUM
3335,4-NOT SPECIFIED
3360,3-MEDIUM
3362,5-LOW
3363,1-URGENT
3364,4-NOT SPECIFIED
3365,2-HIGH
3366,4-NOT SPECIFIED
3393,2-HIGH
3396,1-URGENT
3398,5-LOW
3425,1-URGENT
3426,2-HIGH
3429,1-URGENT
3430,3-MEDIUM
3431,5-LOW
3460,3-MEDIUM
3461,2-HIGH
3462,2-HIGH
3463,3-MEDIUM
3488,2-HIGH
3489,2-HIGH
3490,4-NOT SPECIFIED
3492,1-URGENT
3493,3-MEDIUM
3495,1-URGENT
3520,3-MEDIUM
3523,2-HIGH
3524,1-URGENT
3527,5-LOW
3553,1-URGENT
3555,4-NOT SPECIFIED
3557,1-URGENT
3559,5-LOW
3588,1-URGENT
3589,4-NOT SPECIFIED
3590,1-URGENT
3618,1-URGENT
3619,1-URGENT
3621,3-MEDIUM
3648,5-LOW
3651,3-MEDIUM
3653,1-URGENT
3681,5-LOW
3683,3-MEDIUM
3684,1-URGENT
3685,5-LOW
3687,5-LOW
3712,1-URGENT
3715,2-HIGH
3716,3-MEDIUM
3717,4-NOT SPECIFIED
3719,3-MEDIUM
3746,2-HIGH
3750,1-URGENT
3776,2-HIGH
3777,4-NOT SPECIFIED
3781,5-LOW
3809,1-URGENT
3814,1-URGENT
3841,2-HIGH
3843,4-NOT SPECIFIED
3845,1-URGENT
3847,4-NOT SPECIFIED
3874,2-HIGH
3878,1-URGENT
3904,4-NOT SPECIFIED
3905,5-LOW
3906,3-MEDIUM
3910,2-HIGH
3936,5-LOW
3937,1-URGENT
3938,3-MEDIUM
3941,1-URGENT
3942,1-URGENT
3970,1-URGENT
3971,3-MEDIUM
3973,4-NOT SPECIFIED
4001,4-NOT SPECIFIED
4003,4-NOT SPECIFIED
4006,4-NOT SPECIFIED
4032,2-HIGH
4034,4-NOT SPECIFIED
4035,3-MEDIUM
4038,1-URGENT
4039,4-NOT SPECIFIED
4065,2-HIGH
4066,2-HIGH
4067,3-MEDIUM
4070,2-HIGH
4071,4-NOT SPECIFIED
4097,3-MEDIUM
4098,4-NOT SPECIFIED
4099,5-LOW
4100,2-HIGH
4102,1-URGENT
4103,2-HIGH
4128,2-HIGH
4129,3-MEDIUM
4131,1-URGENT
4132,2-HIGH
4133,1-URGENT
4160,3-MEDIUM
4162,3-MEDIUM
4163,1-URGENT
4166,2-HIGH
4167,1-URGENT
4193,5-LOW
4194,3-MEDIUM
4197,1-URGENT
4198,1-URGENT
4225,4-NOT SPECIFIED
4227,5-LOW
4231,2-HIGH
4256,1-URGENT
4257,2-HIGH
4258,1-URGENT
4259,2-HIGH
4260,1-URGENT
4262,1-URGENT
4288,1-URGENT
4289,3-MEDIUM
4290,3-MEDIUM
4291,4-NOT SPECIFIED
4292,5-LOW
4293,2-HIGH
4294,2-HIGH
4295,2-HIGH
4320,5-LOW
4321,1-URGENT
4323,1-URGENT
4325,3-MEDIUM
4354,1-URGENT
4355,1-URGENT
4384,5-LOW
4385,1-URGENT
4387,5-LOW
4388,2-HIGH
4391,1-URGENT
4417,5-LOW
4419,5-LOW
4421,5-LOW
4422,1-URGENT
4423,5-LOW
4448,3-MEDIUM
4449,1-URGENT
4450,3-MEDIUM
4451,4-NOT SPECIFIED
4454,4-NOT SPECIFIED
4455,2-HIGH
4480,1-URGENT
4481,5-LOW
4483,1-URGENT
4486,3-MEDIUM
4487,2-HIGH
4513,5-LOW
4514,3-MEDIUM
4515,4-NOT SPECIFIED
4517,2-HIGH
4519,2-HIGH
4544,3-MEDIUM
4546,4-NOT SPECIFIED
4547,5-LOW
4550,3-MEDIUM
4551,4-NOT SPECIFIED
4578,2-HIGH
4579,2-HIGH
4580,2-HIGH
4581,1-URGENT
4582,1-URGENT
4583,1-URGENT
4608,1-URGENT
4610,2-HIGH
4611,5-LOW
4612,1-URGENT
4640,2-HIGH
4641,4-NOT SPECIFIED
4643,2-HIGH
4644,1-URGENT
4645,4-NOT SPECIFIED
4674,3-MEDIUM
4675,2-HIGH
4676,4-NOT SPECIFIED
4678,1-URGENT
4704,5-LOW
4708,3-MEDIUM
4709,1-URGENT
4736,1-URGENT
4737,1-URGENT
4738,2-HIGH
4739,5-LOW
4740,4-NOT SPECIFIED
4741,2-HIGH
4742,2-HIGH
4768,5-LOW
4770,3-MEDIUM
4773,2-HIGH
4775,1-URGENT
4800,1-URGENT
4802,2-HIGH
4804,2-HIGH
4807,4-NOT SPECIFIED
4832,1-URGENT
4833,1-URGENT
4834,1-URGENT
4835,2-HIGH
4836,1-URGENT
4837,3-MEDIUM
4864,1-URGENT
4865,4-NOT SPECIFIED
4866,2-HIGH
4867,4-NOT SPECIFIED
4869,1-URGENT
4871,1-URGENT
4896,1-URGENT
4899,5-LOW
4900,5-LOW
4901,1-URGENT
4902,1-URGENT
4931,1-URGENT
4933,4-NOT SPECIFIED
4963,5-LOW
4964,2-HIGH
4965,2-HIGH
4966,5-LOW
4967,1-URGENT
4992,4-NOT SPECIFIED
4993,3-MEDIUM
4994,3-MEDIUM
4995,3-MEDIUM
4996,2-HIGH
4999,5-LOW
5024,1-URGENT
5025,4-NOT SPECIFIED
5026,2-HIGH
5029,5-LOW
5056,1-URGENT
5057,3-MEDIUM
5058,2-HIGH
5089,2-HIGH
5090,1-URGENT
5091,1-URGENT
5093,1-URGENT
5120,4-NOT SPECIFIED
5121,5-LOW
5123,2-HIGH
5124,5-LOW
5125,2-HIGH
5126,4-NOT SPECIFIED
5127,5-LOW
5153,5-LOW
5154,1-URGENT
5155,3-MEDIUM
5156,1-URGENT
5158,2-HIGH
5159,2-HIGH
5184,1-URGENT
5185,3-MEDIUM
5187,1-URGENT
5188,4-NOT SPECIFIED
5190,2-HIGH
5216,5-LOW
5219,2-HIGH
5220,1-URGENT
5221,1-URGENT
5222,2-HIGH
5248,2-HIGH
5249,4-NOT SPECIFIED
5250,3-MEDIUM
5252,3-MEDIUM
5253,1-URGENT
5280,1-URGENT
5282,1-URGENT
5283,2-HIGH
5285,1-URGENT
5286,1-URGENT
5287,2-HIGH
5312,4-NOT SPECIFIED
5316,3-MEDIUM
5319,5-LOW
5346,4-NOT SPECIFIED
5347,3-MEDIUM
5348,1-URGENT
5349,5-LOW
5350,3-MEDIUM
5351,3-MEDIUM
5412,3-MEDIUM
5414,2-HIGH
5415,5-LOW
5442,1-URGENT
5443,2-HIGH
5446,3-MEDIUM
5472,1-URGENT
5473,2-HIGH
5474,2-HIGH
5476,1-URGENT
5477,2-HIGH
5479,3-MEDIUM
5504,1-URGENT
5505,1-URGENT
5507,1-URGENT
5509,3-MEDIUM
5511,4-NOT SPECIFIED
5536,5-LOW
5537,5-LOW
5538,2-HIGH
5539,4-NOT SPECIFIED
5540,1-URGENT
5541,1-URGENT
5543,5-LOW
5568,1-URGENT
5570,5-LOW
5572,4-NOT SPECIFIED
5573,5-LOW
5575,4-NOT SPECIFIED
5600,1-URGENT
5601,1-URGENT
5603,1-URGENT
5604,1-URGENT
5605,3-MEDIUM
5632,1-URGENT
5633,3-MEDIUM
5635,1-URGENT
5637,5-LOW
5638,1-URGENT
5666,4-NOT SPECIFIED
5667,4-NOT SPECIFIED
5668,5-LOW
5669,5-LOW
5671,2-HIGH
5696,3-MEDIUM
5697,4-NOT SPECIFIED
5698,4-NOT SPECIFIED
5699,3-MEDIUM
5700,4-NOT SPECIFIED
5703,4-NOT SPECIFIED
5728,1-URGENT
5730,3-MEDIUM
5731,4-NOT SPECIFIED
5732,5-LOW
5733,2-HIGH
5734,1-URGENT
5735,4-NOT SPECIFIED
5760,5-LOW
5761,1-URGENT
5762,2-HIGH
5763,2-HIGH
5764,2-HIGH
5766,5-LOW
5792,3-MEDIUM
5793,1-URGENT
5796,1-URGENT
5797,5-LOW
5798,5-LOW
5799,1-URGENT
5825,2-HIGH
5829,1-URGENT
5856,5-LOW
5859,5-LOW
5860,1-URGENT
5861,4-NOT SPECIFIED
5862,3-MEDIUM
5888,4-NOT SPECIFIED
5889,2-HIGH
5891,1-URGENT
5892,3-MEDIUM
5893,2-HIGH
5895,3-MEDIUM
5920,1-URGENT
5922,5-LOW
5924,1-URGENT
5925,1-URGENT
5927,1-URGENT
5953,3-MEDIUM
5956,4-NOT SPECIFIED
5958,1-URGENT
5959,5-LOW
5985,5-LOW
5986,3-MEDIUM
5987,4-NOT SPECIFIED
5988,1-URGENT
5991,1-URGENT
6017,4-NOT SPECIFIED
6019,4-NOT SPECIFIED
6049,1-URGENT
6050,1-URGENT
6052,1-URGENT
6053,3-MEDIUM
6055,1-URGENT
6081,5-LOW
6082,3-MEDIUM
6083,3-MEDIUM
6085,4-NOT SPECIFIED
6086,3-MEDIUM
6087,4-NOT SPECIFIED
6112,5-LOW
6114,2-HIGH
6116,2-HIGH
6144,4-NOT SPECIFIED
6145,3-MEDIUM
6146,5-LOW
6149,1-URGENT
6150,1-URGENT
6151,5-LOW
6177,5-LOW
6180,4-NOT SPECIFIED
6181,3-MEDIUM
6182,1-URGENT
6210,5-LOW
6211,2-HIGH
6212,1-URGENT
6213,1-URGENT
6214,5-LOW
6241,5-LOW
6242,1-URGENT
6243,1-URGENT
6244,4-NOT SPECIFIED
6245,1-URGENT
6246,2-HIGH
6273,4-NOT SPECIFIED
6274,1-URGENT
6275,4-NOT SPECIFIED
6276,4-NOT SPECIFIED
6278,1-URGENT
6305,1-URGENT
6307,2-HIGH
6308,1-URGENT
6310,1-URGENT
6311,2-HIGH
6338,1-URGENT
6339,2-HIGH
6340,1-URGENT
6341,5-LOW
6342,4-NOT SPECIFIED
6368,2-HIGH
6373,1-URGENT
6374,2-HIGH
6375,1-URGENT
6402,1-URGENT
6404,5-LOW
6405,2-HIGH
6406,4-NOT SPECIFIED
6432,1-URGENT
6434,3-MEDIUM
6435,5-LOW
6437,1-URGENT
6438,1-URGENT
6439,1-URGENT
6464,5-LOW
6466,3-MEDIUM
6468,4-NOT SPECIFIED
6469,5-LOW
6470,1-URGENT
6471,4-NOT SPECIFIED
6496,2-HIGH
6497,2-HIGH
6498,1-URGENT
6499,1-URGENT
6502,5-LOW
6503,1-URGENT
6528,5-LOW
6530,1-URGENT
6531,1-URGENT
6532,1-URGENT
6533,3-MEDIUM
6561,5-LOW
6563,1-URGENT
6565,3-MEDIUM
6566,1-URGENT
6567,2-HIGH
6593,2-HIGH
6594,1-URGENT
6598,3-MEDIUM
6599,1-URGENT
6625,1-URGENT
6626,5-LOW
6630,2-HIGH
6631,3-MEDIUM
6656,2-HIGH
6658,1-URGENT
6659,4-NOT SPECIFIED
6661,1-URGENT
6662,5-LOW
6663,1-URGENT
6688,5-LOW
6689,2-HIGH
6690,4-NOT SPECIFIED
6691,5-LOW
6692,1-URGENT
6695,2-HIGH
6725,2-HIGH
6726,1-URGENT
6752,3-MEDIUM
6754,1-URGENT
6755,2-HIGH
6759,5-LOW
6785,1-URGENT
6787,1-URGENT
6788,1-URGENT
6789,5-LOW
6790,1-URGENT
6791,2-HIGH
6819,5-LOW
6820,1-URGENT
6821,1-URGENT
6823,3-MEDIUM
6849,4-NOT SPECIFIED
6850,4-NOT SPECIFIED
6851,1-URGENT
6853,4-NOT SPECIFIED
6855,4-NOT SPECIFIED
6881,3-MEDIUM
6882,1-URGENT
6883,4-NOT SPECIFIED
6884,2-HIGH
6886,2-HIGH
6913,1-URGENT
6915,4-NOT SPECIFIED
6916,2-HIGH
6944,1-URGENT
6946,3-MEDIUM
6947,1-URGENT
6976,1-URGENT
6977,5-LOW
6978,4-NOT SPECIFIED
6980,1-URGENT
6981,5-LOW
6982,3-MEDIUM
6983,2-HIGH
7008,1-URGENT
7009,5-LOW
7011,3-MEDIUM
7012,3-MEDIUM
7013,4-NOT SPECIFIED
7014,1-URGENT
7040,2-HIGH
7041,5-LOW
7042,3-MEDIUM
7043,4-NOT SPECIFIED
7045,1-URGENT
7072,3-MEDIUM
7073,4-NOT SPECIFIED
7076,1-URGENT
7078,5-LOW
7107,1-URGENT
7110,5-LOW
7111,1-URGENT
7139,5-LOW
7140,1-URGENT
7143,2-HIGH
7168,2-HIGH
7171,2-HIGH
7172,2-HIGH
7175,3-MEDIUM
7201,1-URGENT
7202,1-URGENT
7203,4-NOT SPECIFIED
7205,4-NOT SPECIFIED
7206,1-URGENT
7232,4-NOT SPECIFIED
7233,1-URGENT
7234,5-LOW
7236,2-HIGH
7237,1-URGENT
7239,1-URGENT
7264,2-HIGH
7265,5-LOW
7268,1-URGENT
7269,5-LOW
7270,5-LOW
7271,1-URGENT
7296,1-URGENT
7297,2-HIGH
7298,2-HIGH
7300,1-URGENT
7301,2-HIGH
7302,4-NOT SPECIFIED
7330,1-URGENT
7331,2-HIGH
7332,1-URGENT
7333,1-URGENT
7334,5-LOW
7360,4-NOT SPECIFIED
7361,5-LOW
7364,2-HIGH
7365,2-HIGH
7367,1-URGENT
7393,1-URGENT
7398,5-LOW
7399,3-MEDIUM
7425,1-URGENT
7426,1-URGENT
7430,1-URGENT
7431,1-URGENT
7456,2-HIGH
7457,1-URGENT
7460,1-URGENT
7462,2-HIGH
7490,1-URGENT
7492,4-NOT SPECIFIED
7494,3-MEDIUM
7520,5-LOW
7521,4-NOT SPECIFIED
7524,3-MEDIUM
7525,2-HIGH
7526,4-NOT SPECIFIED
7552,3-MEDIUM
7554,2-HIGH
7555,5-LOW
7559,1-URGENT
7584,4-NOT SPECIFIED
7586,3-MEDIUM
7588,1-URGENT
7589,1-URGENT
7590,4-NOT SPECIFIED
7617,4-NOT SPECIFIED
7618,1-URGENT
7620,2-HIGH
7621,3-MEDIUM
7622,1-URGENT
7648,4-NOT SPECIFIED
7650,5-LOW
7652,3-MEDIUM
7655,1-URGENT
7680,3-MEDIUM
7681,5-LOW
7684,1-URGENT
7685,2-HIGH
7686,3-MEDIUM
7712,5-LOW
7714,1-URGENT
7719,3-MEDIUM
7745,5-LOW
7750,5-LOW
7751,1-URGENT
7777,1-URGENT
7778,2-HIGH
7779,4-NOT SPECIFIED
7780,1-URGENT
7782,4-NOT SPECIFIED
7783,1-URGENT
7808,1-URGENT
7811,3-MEDIUM
7812,2-HIGH
7841,5-LOW
7844,5-LOW
7846,5-LOW
7847,1-URGENT
7872,1-URGENT
7873,1-URGENT
7874,4-NOT SPECIFIED
7875,1-URGENT
7877,5-LOW
7878,2-HIGH
7879,1-URGENT
7904,1-URGENT
7907,1-URGENT
7911,4-NOT SPECIFIED
7937,5-LOW
7938,4-NOT SPECIFIED
7939,4-NOT SPECIFIED
7940,5-LOW
7942,5-LOW
7968,5-LOW
7970,3-MEDIUM
7971,2-HIGH
7973,1-URGENT
7974,4-NOT SPECIFIED
8002,4-NOT SPECIFIED
8004,4-NOT SPECIFIED
8005,1-URGENT
8006,1-URGENT
8007,4-NOT SPECIFIED
8033,1-URGENT
8035,3-MEDIUM
8038,5-LOW
8039,2-HIGH
8064,3-MEDIUM
8066,4-NOT SPECIFIED
8067,1-URGENT
8068,2-HIGH
8096,5-LOW
8099,2-HIGH
8101,3-MEDIUM
8102,4-NOT SPECIFIED
8128,4-NOT SPECIFIED
8130,3-MEDIUM
8131,4-NOT SPECIFIED
8134,1-URGENT
8135,1-URGENT
8161,5-LOW
8167,1-URGENT
8192,5-LOW
8194,1-URGENT
8195,4-NOT SPECIFIED
8196,4-NOT SPECIFIED
8198,1-URGENT
8199,3-MEDIUM
8225,1-URGENT
8226,4-NOT SPECIFIED
8227,3-MEDIUM
8229,1-URGENT
8231,2-HIGH
8256,1-URGENT
8257,1-URGENT
8261,1-URGENT
8262,2-HIGH
8263,1-URGENT
8288,4-NOT SPECIFIED
8290,2-HIGH
8291,3-MEDIUM
8293,4-NOT SPECIFIED
8294,5-LOW
8295,1-URGENT
8320,1-URGENT
8325,2-HIGH
8326,3-MEDIUM
8353,4-NOT SPECIFIED
8354,2-HIGH
8355,1-URGENT
8356,2-HIGH
8358,3-MEDIUM
8359,4-NOT SPECIFIED
8384,3-MEDIUM
8385,5-LOW
8386,4-NOT SPECIFIED
8387,3-MEDIUM
8388,4-NOT SPECIFIED
8389,3-MEDIUM
8390,2-HIGH
8391,1-URGENT
8416,5-LOW
8417,5-LOW
8421,3-MEDIUM
8422,1-URGENT
8448,4-NOT SPECIFIED
8449,2-HIGH
8450,3-MEDIUM
8451,3-MEDIUM
8452,2-HIGH
8453,1-URGENT
8454,1-URGENT
8481,1-URGENT
8482,1-URGENT
8483,1-URGENT
8512,1-URGENT
8513,2-HIGH
8514,1-URGENT
8515,3-MEDIUM
8516,1-URGENT
8517,5-LOW
8519,3-MEDIUM
8546,5-LOW
8547,2-HIGH
8548,4-NOT SPECIFIED
8549,3-MEDIUM
8550,1-URGENT
8551,5-LOW
8576,1-URGENT
8577,2-HIGH
8578,1-URGENT
8579,1-URGENT
8580,1-URGENT
8581,5-LOW
8582,1-URGENT
8583,1-URGENT
8610,2-HIGH
8611,2-HIGH
8613,4-NOT SPECIFIED
8614,5-LOW
8640,2-HIGH
8641,1-URGENT
8645,4-NOT SPECIFIED
8647,5-LOW
